           T(s)              1              2              3              4              5              6              7
      24300.000  0.3212156E-05  0.4661531E-02  0.0000000E+00  0.1238370E-01  0.6204911E-02  0.2517607E-02  0.6399322E-02
      24600.000  0.1024936E-03  0.5379667E-02  0.0000000E+00  0.1421779E-01  0.6952024E-02  0.2862598E-02  0.7506818E-02
      24900.000  0.3526946E-03  0.6134495E-02  0.0000000E+00  0.1614521E-01  0.7726051E-02  0.3222466E-02  0.8695263E-02
      25200.000  0.7687198E-03  0.6923245E-02  0.0000000E+00  0.1815633E-01  0.8525733E-02  0.3596453E-02  0.9958497E-02
      25500.000  0.1348892E-02  0.7610646E-02  0.0000000E+00  0.2005476E-01  0.9124502E-02  0.3890181E-02  0.1118909E-01
      25800.000  0.2072561E-02  0.8114151E-02  0.0000000E+00  0.2161702E-01  0.9477606E-02  0.4073740E-02  0.1228360E-01
      26100.000  0.2784674E-02  0.8501931E-02  0.0000000E+00  0.2287900E-01  0.9739206E-02  0.4208902E-02  0.1325397E-01
      26400.000  0.3542524E-02  0.8819434E-02  0.0000000E+00  0.2391117E-01  0.9968157E-02  0.4323648E-02  0.1411562E-01
      26700.000  0.4331103E-02  0.9095337E-02  0.0000000E+00  0.2478069E-01  0.1018619E-01  0.4430159E-02  0.1488478E-01
      27000.000  0.5137906E-02  0.9347189E-02  0.0000000E+00  0.2564641E-01  0.1040120E-01  0.4533641E-02  0.1557690E-01
      27300.000  0.5952993E-02  0.9585540E-02  0.0000000E+00  0.2735433E-01  0.1061603E-01  0.4636295E-02  0.1620592E-01
      27600.000  0.6770787E-02  0.9816656E-02  0.0000000E+00  0.3055842E-01  0.1083170E-01  0.4739043E-02  0.1678394E-01
      27900.000  0.7591533E-02  0.1004423E-01  0.0000000E+00  0.3565988E-01  0.1104855E-01  0.4842268E-02  0.1732121E-01
      28200.000  0.8421552E-02  0.1027043E-01  0.0000000E+00  0.4300942E-01  0.1126670E-01  0.4946123E-02  0.1782624E-01
      28500.000  0.9272869E-02  0.1049650E-01  0.0000000E+00  0.5293798E-01  0.1148620E-01  0.5050671E-02  0.1830602E-01
      28800.000  0.1016256E-01  0.1072318E-01  0.0000000E+00  0.6574155E-01  0.1170703E-01  0.5155932E-02  0.1876622E-01
      29100.000  0.1110661E-01  0.1092440E-01  0.0000000E+00  0.7940383E-01  0.1188686E-01  0.5243954E-02  0.1918914E-01
      29400.000  0.1211704E-01  0.1108829E-01  0.0000000E+00  0.9204361E-01  0.1202178E-01  0.5311234E-02  0.1956138E-01
      29700.000  0.1320327E-01  0.1123100E-01  0.0000000E+00  0.1008453E+00  0.1214150E-01  0.5370240E-02  0.1989395E-01
      30000.000  0.1436951E-01  0.1136180E-01  0.0000000E+00  0.1088676E+00  0.1225625E-01  0.5426026E-02  0.2019561E-01
