           T(s)              1              2              3              4              5              6              7
      12000.000  0.1397313E-03  0.4084179E-03  0.5242708E-05  0.3775263E-03  0.5506778E-03  0.3664565E-03  0.2836417E-03
      12300.000  0.2208266E-03  0.6677537E-03  0.8061960E-05  0.6073661E-03  0.9230667E-03  0.5565477E-03  0.4147763E-03
      12600.000  0.3392967E-03  0.1035488E-02  0.1250707E-04  0.9507887E-03  0.1428628E-02  0.8099650E-03  0.5971858E-03
      12900.000  0.5051853E-03  0.1526637E-02  0.1941499E-04  0.1441104E-02  0.2064066E-02  0.1127673E-02  0.8407769E-03
      13200.000  0.7296508E-03  0.2151215E-02  0.3001514E-04  0.2113616E-02  0.2815080E-02  0.1506190E-02  0.1155221E-02
      13500.000  0.1024886E-02  0.2913586E-02  0.4607507E-04  0.3003049E-02  0.3660085E-02  0.1938432E-02  0.1549595E-02
      13800.000  0.1404006E-02  0.3812431E-02  0.7007385E-04  0.4140590E-02  0.4574487E-02  0.2414991E-02  0.2032090E-02
      14100.000  0.1880885E-02  0.4841240E-02  0.1053948E-03  0.5551046E-02  0.5534398E-02  0.2925505E-02  0.2609759E-02
      14400.000  0.2469962E-02  0.5989213E-02  0.1565234E-03  0.7250548E-02  0.6519166E-02  0.3459849E-02  0.3288334E-02
      14700.000  0.3212985E-02  0.7325364E-02  0.2302282E-03  0.9321095E-02  0.7627197E-02  0.4063924E-02  0.4109700E-02
      15000.000  0.4165201E-02  0.8926888E-02  0.3363526E-03  0.1187524E-01  0.8942617E-02  0.4780003E-02  0.5125484E-02
      15300.000  0.5362682E-02  0.1078328E-01  0.4872825E-03  0.1495517E-01  0.1042219E-01  0.5589943E-02  0.6352070E-02
      15600.000  0.6843336E-02  0.1287527E-01  0.6990017E-03  0.1858563E-01  0.1202376E-01  0.6474438E-02  0.7802657E-02
      15900.000  0.8646126E-02  0.1517650E-01  0.9915558E-03  0.2277077E-01  0.1370933E-01  0.7414598E-02  0.9486592E-02
      16200.000  0.1081030E-01  0.1765601E-01  0.1389352E-02  0.2749348E-01  0.1544738E-01  0.8393369E-02  0.1140896E-01
      16500.000  0.1337462E-01  0.2028082E-01  0.1921230E-02  0.3271710E-01  0.1721370E-01  0.9396457E-02  0.1357044E-01
      16800.000  0.1637680E-01  0.2301831E-01  0.2620259E-02  0.3838906E-01  0.1899111E-01  0.1041268E-01  0.1596741E-01
      17100.000  0.1985292E-01  0.2583815E-01  0.3523256E-02  0.4444588E-01  0.2076840E-01  0.1143388E-01  0.1859224E-01
      17400.000  0.2383718E-01  0.2871355E-01  0.4670038E-02  0.5081849E-01  0.2253895E-01  0.1245451E-01  0.2143375E-01
      17700.000  0.2836164E-01  0.3162196E-01  0.6102462E-02  0.5743722E-01  0.2429937E-01  0.1347113E-01  0.2447777E-01
      18000.000  0.3345625E-01  0.3454524E-01  0.7863306E-02  0.6423591E-01  0.2604846E-01  0.1448184E-01  0.2770781E-01
      18300.000  0.3929690E-01  0.3777668E-01  0.1000611E-01  0.7149974E-01  0.2814790E-01  0.1566374E-01  0.3127213E-01
