           T(s)              1              2              3              4              5              6              7
      12000.000  0.3094917E-03  0.7554638E-03  0.8248960E-03  0.5984240E-03  0.9824410E-03  0.9647826E-03  0.5457915E-03
      12300.000  0.4072704E-03  0.1014555E-02  0.1067930E-02  0.7959608E-03  0.1339167E-02  0.1239606E-02  0.6855589E-03
      12600.000  0.5269543E-03  0.1319919E-02  0.1389874E-02  0.1041466E-02  0.1740130E-02  0.1552470E-02  0.8531093E-03
      12900.000  0.6690650E-03  0.1665942E-02  0.1809516E-02  0.1336543E-02  0.2169749E-02  0.1893283E-02  0.1047434E-02
      13200.000  0.8341450E-03  0.2046407E-02  0.2350062E-02  0.1681719E-02  0.2613510E-02  0.2252161E-02  0.1267348E-02
      13500.000  0.1022716E-02  0.2454744E-02  0.3039117E-02  0.2076100E-02  0.3059051E-02  0.2620063E-02  0.1511498E-02
      13800.000  0.1235237E-02  0.2884316E-02  0.3908342E-02  0.2517230E-02  0.3496765E-02  0.2989265E-02  0.1778375E-02
      14100.000  0.1472069E-02  0.3328675E-02  0.4992753E-02  0.3001145E-02  0.3919925E-02  0.3353614E-02  0.2066334E-02
      14400.000  0.1733439E-02  0.3781796E-02  0.6329722E-02  0.3522596E-02  0.4324438E-02  0.3708580E-02  0.2373614E-02
      14700.000  0.2029731E-02  0.4267501E-02  0.7978606E-02  0.4095566E-02  0.4751603E-02  0.4084567E-02  0.2713384E-02
      15000.000  0.2371757E-02  0.4804966E-02  0.1001618E-01  0.4735982E-02  0.5227543E-02  0.4502287E-02  0.3097862E-02
      15300.000  0.2760011E-02  0.5381604E-02  0.1251082E-01  0.5438619E-02  0.5730424E-02  0.4945538E-02  0.3523413E-02
      15600.000  0.3194729E-02  0.5985550E-02  0.1553442E-01  0.6195952E-02  0.6243465E-02  0.5401085E-02  0.3986130E-02
      15900.000  0.3675846E-02  0.6606050E-02  0.1915968E-01  0.6998673E-02  0.6754620E-02  0.5858713E-02  0.4481906E-02
      16200.000  0.4202984E-02  0.7233744E-02  0.2345709E-01  0.7836358E-02  0.7255945E-02  0.6311049E-02  0.5006505E-02
      16500.000  0.4775458E-02  0.7860824E-02  0.2849198E-01  0.8698189E-02  0.7742771E-02  0.6753190E-02  0.5555637E-02
      16800.000  0.5392308E-02  0.8481075E-02  0.3432174E-01  0.9573626E-02  0.8212852E-02  0.7182236E-02  0.6125041E-02
      17100.000  0.6052341E-02  0.9089804E-02  0.4099368E-01  0.1045297E-01  0.8665597E-02  0.7596803E-02  0.6710555E-02
      17400.000  0.6754193E-02  0.9683704E-02  0.4854340E-01  0.1132774E-01  0.9101450E-02  0.7996578E-02  0.7308191E-02
      17700.000  0.7496381E-02  0.1026066E-01  0.5699394E-01  0.1219093E-01  0.9521429E-02  0.8381945E-02  0.7914184E-02
      18000.000  0.8277363E-02  0.1081953E-01  0.6635547E-01  0.1303703E-01  0.9926811E-02  0.8753702E-02  0.8525050E-02
      18300.000  0.9116333E-02  0.1141608E-01  0.7667669E-01  0.1390257E-01  0.1039979E-01  0.9175897E-02  0.9167100E-02
      18600.000  0.1003395E-01  0.1208839E-01  0.8806658E-01  0.1482845E-01  0.1097498E-01  0.9680433E-02  0.9863109E-02
      18900.000  0.1103005E-01  0.1281239E-01  0.1006122E+00  0.1581003E-01  0.1160124E-01  0.1023067E-01  0.1060436E-01
      19200.000  0.1210370E-01  0.1356853E-01  0.1143889E+00  0.1683718E-01  0.1224685E-01  0.1080185E-01  0.1138244E-01
      19500.000  0.1325341E-01  0.1434134E-01  0.1294544E+00  0.1789730E-01  0.1289310E-01  0.1137792E-01  0.1218936E-01
