7	!	number	of	unit	channels	
cat	next_stream	prev_str01	prev_str02	length(m)	source_elev(m)	outlet_elev(m)
1	-1	2	3	2764.285714	1220	950
2	1	0	0	1028.571429	1520	1220
3	2	4	7	257.1428571	1260	1220
4	3	5	6	1414.285714	1620	1260
5	4	0	0	578.5714286	1860	1620
6	4	0	0	621.4285714	1870	1620
7	3	0	0	2421.428571	2030	1260
